Employee_ID,Name,Gender,Age,Department,City,Experience_Years,Education_Level,Job_Level,Salary,Performance_Score,Joining_Date,Is_Remote,Employment_Type,Monthly_Work_Hours,Projects_Completed,Training_Hours,Satisfaction_Score,Attrition,Email
1027,Abdullah Ahmed,Female,35,Finance,,15,MPhil,Junior,75626,7.2,2024-06-03,False,Part-time,196,33,54,4.3,No,abdullah.ahmed1027@company.com
1028,Abdullah Raza,Female,49,Sales,Peshawar,7,Master,Senior,132948,8.1,2020-02-28,False,Full-time,176,16,34,2.3,No,abdullah.raza1028@company.com
1029,Ahmed Raza,Male,35,Operations,Multan,4,Bachelor,Junior,58378,7.7,2023-04-30,True,Full-time,193,25,74,4.8,Yes,ahmed.raza1029@company.com
1030,Abdullah Qureshi,Female,51,IT,Islamabad,9,MPhil,Lead,178558,,2026-04-01,True,Full-time,174,28,62,1.1,No,abdullah.qureshi1030@company.com
1031,Komal Qureshi,Female,31,Design,Karachi,11,Intermediate,Lead,188625,8.2,2015-11-19,False,Full-time,199,12,6,2.0,No,komal.qureshi1031@company.com
1032,Saad Malik,Female,45,Sales,Peshawar,13,Master,Lead,173554,8.7,2015-03-03,False,Full-time,148,3,3,4.8,No,saad.malik1032@company.com
1033,Ali Sheikh,Male,36,Finance,Faisalabad,16,Intermediate,Mid,113174,8.4,2022-04-10,True,Full-time,154,11,39,1.4,Yes,ali.sheikh1033@company.com
1034,Maria Sheikh,Female,46,Marketing,Lahore,18,Bachelor,Junior,107758,9.2,2016-09-18,True,Full-time,194,24,8,3.0,No,maria.sheikh1034@company.com
1035,Eman Farooq,Female,27,Operations,Islamabad,7,MPhil,Senior,121608,8.6,not_available,False,Full-time,215,18,41,4.4,No,eman.farooq1035@company.com
1036,Ahmed Ali,Female,36,Design,Rawalpindi,16,MPhil,Mid,117642,5.9,2018-10-04,False,Full-time,183,18,76,3.8,No,ahmed.ali1036@company.com
1037,Ali Siddiqui,Male,26,Marketing,Multan,6,MPhil,Mid,91352,8.2,2025-01-03,False,Full-time,151,19,28,2.6,No,ali.siddiqui1037@company.com
1038,Komal Sheikh,Female,51,Support,Faisalabad,23,Master,Mid,133644,6.5,2019-03-04,True,Full-time,180,8,68,4.8,No,komal.sheikh1038@company.com
1039,Umar Noor,Female,38,Sales,,6,Master,Junior,59906,5.1,2025-12-24,True,Full-time,146,19,16,3.6,No,employee@company
1040,Fatima Iqbal,Male,57,Sales,Faisalabad,15,MPhil,Mid,98848,9.6,2024-09-18,True,Contract,191,32,9,3.3,No,fatima.iqbal1040@company.com
1041,Hassan Raza,Female,26,Marketing,Lahore,6,MPhil,Senior,124909,8.8,2022-07-14,False,Contract,178,28,39,3.3,Yes,hassan.raza1041@company.com
1042,Anam Ahmed,Male,34,Sales,Multan,2,Bachelor,Junior,45319,5.8,2023-03-01,False,Full-time,200,19,4,1.9,No,anam.ahmed1042@company.com
1043,Raza Iqbal,Female,25,Marketing,Islamabad,5,Bachelor,Mid,83941,8.2,2019-12-17,True,Full-time,161,20,76,4.0,No,raza.iqbal1043@company.com
1044,Maria Tariq,Male,50,Sales,Multan,12,Master,Mid,110076,5.4,2014-11-23,False,Full-time,217,17,3,,No,maria.tariq1044@company.com
1045,Taha Iqbal,Male,38,IT,Peshawar,18,Bachelor,Mid,132902,9.5,2018-01-26,False,Full-time,202,6,60,2.4,No,taha.iqbal1045@company.com
1046,Komal Ahmed,Male,42,Operations,Multan,15,Master,Senior,154325,5.2,2015-12-23,False,Full-time,154,26,65,4.3,Yes,komal.ahmed1046@company.com
1047,Eman Siddiqui,Female,47,IT,Karachi,16,Master,Senior,156604,8.7,2018-07-26,False,Full-time,176,29,62,1.5,No,eman.siddiqui1047@company.com
1048,Noor Qureshi,Male,31,Sales,Rawalpindi,0,MPhil,Junior,52120,9.6,2017-06-15,False,Contract,177,33,34,2.7,No,noor.qureshi1048@company.com
1049,Iqra Noor,Female,56,Finance,Faisalabad,6,Bachelor,Lead,164786,6.7,2025-05-22,False,Contract,176,20,75,3.3,No,iqra.noor1049@company.com
1050,Eman Raza,Female,55,Design,Islamabad,10,MPhil,Mid,92771,9.8,2019-05-11,0,Full-time,192,3,40,4.0,No,eman.raza1050@company.com
1051,Laiba Farooq,Female,30,Design,Lahore,4,Master,Lead,151071,7.6,2024-04-01,True,Full-time,192,10,9,2.9,No,laiba.farooq1051@company.com
1052,Hamza Sheikh,Female,26,Support,Peshawar,6,MPhil,Manager,216487,9.3,2014-10-22,FALSE,Full-time,227,19,29,,No,hamza.sheikh1052@company.com
1053,Fatima Qureshi,Male,49,HR ,Multan,9,Intermediate,Junior,69708,6.4,2022-05-29,False,Full-time,207,27,72,3.7,No,fatima.qureshi1053@company.com
1054,Ayesha Ahmed,Female,36,Design,Rawalpindi,4,Bachelor,Mid,86339,6.3,2014-03-18,False,Contract,226,35,20,1.3,No,ayesha.ahmed1054@company.com
1055,Talha Ali,Female,37,Design,Peshawar,9,Bachelor,Manager,210595,,2022-01-19,False,Part-time,177,2,50,2.1,No,talha.ali1055@company.com
1056,Komal Qureshi,Male,52,Sales, Multan ,25,Bachelor,Senior,167201,8.1,2019-08-16,True,Full-time,220,3,39,4.2,Yes,komal.qureshi1056@company.com
1057,Hira Chaudhry,Male,26,Sales,ISLAMABAD,6,MPhil,Junior,67095,9.3,2022-03-17,False,Contract,172,31,37,4.0,No,hira.chaudhry1057@company.com
1058,Fatima Tariq,Male,30,Marketing,,10,MPhil,Manager,234732,6.8,2022-11-07,FALSE,Full-time,155,30,47,3.7,No,fatima.tariq1058@company.com
1059,Talha Farooq,Female,27,Marketing,Faisalabad,0,Master,Lead,139071,8.1,2024-05-31,False,Full-time,154,9,5,4.8,No,talha.farooq1059@company.com
1060,Iqra Ahmed,Male,36,Finance,Faisalabad,14,Master,Senior,161195,7.1,2017-06-19,False,Full-time,202,27,35,1.1,No,iqra.ahmed1060@company.com
1061,Saad Tariq,Male,44,HR,Karach,11,Master,Junior,,9.7,2023.07.19,True,Full-time,222,2,6,4.1,No,saad.tariq1061@company.com
1062,Hassan Qureshi,Male,25, Sales,Rawalpindi,5,Bachelor,Mid,92039,5.0,2017-03-31,True,Full-time,162,8,3,1.5,No,hassan.qureshi1062@company.com
1063,Laiba Noor,Female,22,Finance,Islamabad,1,Bachelor,Senior,103601,8.7,2024-09-06,False,Full-time,205,7,57,3.0,No,laiba.noor1063@company.com
1064,Sara Chaudhry,Female,,IT,Lahore,15,MPhil,Mid,108380,8.5,2023-12-13,True,Contract,181,10,8,,No,sara.chaudhry1064@company.com
1065,Talha Siddiqui,Female,45,Sales,Faisalabad,16,MPhil,Junior,92541,9.2,2026-05-14,True,Full-time,169,27,43,4.3,No,talha.siddiqui1065@company.com
1066,Anam Ahmed,Female,48,Support,Multan,8,Master,Manager,223188,5.3,2015-12-01,True,Full-time,187,9,71,1.2,No,anam.ahmed1066@company.com
1067,Mehwish Malik,Male,47,Support,Peshawar,21,MPhil,Lead,207481,9.7,2021-01-03,No,Full-time,204,14,19,3.6,No,mehwish.malik1067@company.com
1068,Fatima Malik,Female,28,HR ,Rawalpindi,7,MPhil,Lead,178840,5.1,2019-12-31,True,Full-time,229,20,43,2.4,No,fatima.malik1068@company.com
1069,Hassan Sheikh,Female,Twenty Five,Finance, Multan ,5,Intermediate,Junior,58479,6.8,2024-03-05,False,Full-time,179,21,72,3.4,No,hassan.sheikh1069@company.com
1070,Hassan Raza,Male,26,Sales,Faisalabad,6,MPhil,Mid,91801,6.3,2025-06-29,True,Full-time,154,19,75,2.9,No,hassan.raza1070@company.com
1071,Sara Noor,Female,24,IT,Karachi,4,Bachelor,Senior,118832,6.4,2016-09-09,True,Full-time,195,12,16,2.5,No,sara.noor1071@company.com
1072,Danish Siddiqui,Female,25,Operations,Lhore,5,Intermediate,Mid,78256,9.2,2023-08-18,False,Full-time,193,19,14,2.6,No,danish.siddiqui1072@company.com
1073,Ayesha Qureshi,Female,44,HR,Faisalabad,3,Bachelor,Mid,87029,5.4,2020-12-16,False,Full-time,161,5,65,3.5,No,ayesha.qureshi1073@company.com
1074,Umar Aslam,Female,43,Finance,Karachi,3,Bachelor,Junior,63204,5.7,2015-09-10,True,Part-time,220,32,59,4.0,No,umar.aslam1074@company.com
1075,Saad Butt,Female,41, it ,Faisalabad,2,MPhil,Mid,75840,7.9,2021-11-23,True,Full-time,197,3,7,2.5,No,saad.butt1075@company.com
1076,Farhan Iqbal,Male,53,Operations,Faisalabad,18,Intermediate,Mid,142976,8.2,2021-03-18,False,Full-time,147,29,13,4.2,No,farhan.iqbal1076@company.com
1077,Raza Ahmed,Male,23,Finanace,Multan,3,MPhil,Mid,76345,6.8,2020-05-06,False,Full-time,183,4,80,3.6,Yes,raza.ahmed1077@company.com
1078,Fatima Siddiqui,Female,39,Sales,Multan,19,Bachelor,Mid,123501,9.5,2020-12-16,False,Full-time,230,6,39,3.2,No,fatima.siddiqui1078@company.com
1079,Hamza Iqbal,Male,54,HR,Multan,21,MPhil,Mid,112458,6.5,2018-10-21,False,Contract,202,13,28,,Yes,hamza.iqbal1079@company.com
1080,Maria Iqbal,Male,53,IT,Multan,10,Bachelor,Mid,88466,5.9,2017-09-18,False,Full-time,186,16,56,3.4,No,
1081,Laiba Tariq,Male,55,Marketing,Islamabad,25,MPhil,Lead,203978,8.3,2023-11-19,False,Full-time,188,33,67,2.7,Yes,laiba.tariq1081@company.com
1082,Umar Qureshi,Male,37,IT,Multan,15,Master,Mid,109055,9.2,2020-05-24,True,Full-time,174,29,65,1.6,No,umar.qureshi1082@company.com
1083,Kainat Noor,Female,43,IT,Islambad,1,MPhil,Mid,76935,9.9,2022-05-30,True,Full-time,152,22,18,1.6,No,kainat.noor1083@company.com
1084,Taha Tariq,Male,51,Design,Rawalpindi,0,Intermediate,Junior,41899,7.7,2025-11-02,False,Full-time,176,16,38,1.5,No,taha.tariq1084@company.com
1085,Farhan Qureshi,Female,25,HR,Peshawar,5,Intermediate,Senior,119812,8.5,2020-07-14,False,Full-time,185,16,73,2.7,No,user.company.com
1086,Ahmed Siddiqui,Female,25,IT,Faisalabad,5,Intermediate,Senior,118131,8.7,2022-01-04,True,Full-time,224,7,74,3.9,No,ahmed.siddiqui1086@company.com
1087,Sara Malik,Female,32,Design,,12,Bachelor,Lead,175145,5.2,2018-07-10,True,Full-time,145,21,39,3.1,No,sara.malik1087@company.com
1088,Mehwish Tariq,Female,23,Marketing,,3,Intermediate,Lead,153389,5.6,2022-04-03,False,Contract,196,25,43,4.9,No,mehwish.tariq1088@company.com
1089,Iqra Malik,Female,26,Operations,Lahore,6,Bachelor,Mid,80103,5.4,2020-08-18,False,Full-time,194,11,56,2.4,Yes,iqra.malik1089@company.com
1090,Eman Aslam,Female,48,Sales,,25,Intermediate,Junior,127935,6.8,2017-08-03,True,Full-time,217,29,4,1.5,No,eman.aslam1090@company.com
1091,Farhan Malik,Female,45,IT,Rawalpindi,4,MPhil,Manager,206791,8.7,2017-02-01,False,Full-time,223,18,31,4.8,Yes,farhan.malik1091@company.com
1092,Ayesha Tariq,Female,56,HR,Islamabad,24,Master,Senior,160093,8.4,2025-01-06,True,Full-time,149,29,22,4.6,No,ayesha.tariq1092@company.com
1093,Ahmed Qureshi,Female,43, Sales,Rawalpindi,17,Master,Lead,178778,8.9,2025-05-30,True,Full-time,165,9,30,4.2,Yes,ahmed.qureshi1093@company.com
1094,Mehwish Sheikh,Female,50,Finance,Rawalpindi,2,Intermediate,Mid,84220,7.6,2023-03-09,True,Full-time,180,5,57,2.9,No,
1095,Hassan Aslam,Male,29,Operations,Rawalpindi,1,Intermediate,Mid,69817,5.8,2019-01-22,Yes,Contract,206,19,10,2.0,No,hassan.aslam1095@company.com
1096,Mehwish Ali,Male,40,HR,Rawalpindi,20,Bachelor,Mid,126832,5.8,2021-07-28,True,Contract,143,6,5,,No,mehwish.ali1096@company.com
1097,Bilal Butt,Male,57, it ,Rawalpindi,20,Intermediate,Mid,141557,6.4,2020-10-10,False,Full-time,227,26,38,2.8,No,bilal.butt1097@company.com
1098,Ayesha Tariq,Female,,Design,Islambad,10,Bachelor,Mid,105173,8.6,2021-09-30,False,Full-time,187,33,71,1.4,No,ayesha.tariq1098@company.com
1099,Fatima Ali,Female,36, it ,Lahore,1,Master,Manager,198761,6.2,2017-08-01,False,Contract,180,13,20,3.0,No,fatima.ali1099@company.com
1100,Iqra Aslam,Female,52,IT,Lahore,12,MPhil,Manager,227995,6.7,2015-02-19,False,Full-time,223,31,36,3.1,No,iqra.aslam1100@company.com
1101,Maham Raza,Female,44,Operations,Islamabad,1,MPhil,Junior,46328,6.8,2020-06-22,True,Full-time,197,18,79,3.7,Yes,maham.raza1101@company.com
1102,Fatima Farooq,Female,42, it ,lahore,4,Bachelor,Senior,123874,5.2,2014-11-15,True,Full-time,200,34,58,,No,fatima.farooq1102@company.com
1103,Hassan Malik,Female,31,Operations,Rawalpindi,11,Master,Mid,109920,7.6,2020-09-21,False,Contract,187,22,14,4.9,No,hassan.malik1103@company.com
1104,Laiba Aslam,Male,51,Sales,Multan,25,Bachelor,Senior,187618,5.8,2022-07-12,True,Contract,171,3,73,4.8,Yes,laiba.aslam1104@company.com
1105,  Ali Tariq  ,Female,47,Finance,Faisalabad,22,Bachelor,Mid,151967,9.3,2015-05-26,True,Full-time,211,21,61,3.1,No,ali.tariq1105@company.com
1106,  Ayesha Tariq  ,Female,55,Support,Multan,24,Master,Senior,157709,6.4,2020-09-11,True,Contract,178,19,26,3.8,No,ayesha.tariq1106@company.com
1107,Iqra Malik,Female,39,HR,Rawalpindi,19,MPhil,Lead,197861,9.7,2017-04-14,False,Full-time,150,23,56,3.6,No,iqra.malik1107@company.com
1108,Umar Noor,Female,56,Sales,Karachi,3,Bachelor,Junior,63914,6.1,2019-03-23,True,Full-time,182,31,12,3.7,Yes,umar.noor1108@company.com
1109,Mehwish Aslam,Male,47,Design,Faisalabad,20,Bachelor,Senior,155284,6.4,2015-04-30,0,Full-time,169,35,4,4.7,Yes,mehwish.aslam1109@company.com
1110,Abdullah Iqbal,Male,23,Operations,Peshawar,3,Bachelor,Manager,,5.0,2016-05-29,False,Full-time,222,35,67,3.0,No,abdullah.iqbal1110@company.com
1111,Eman Siddiqui,Female,38,Marketing,Peshawar,3,Master,Junior,53647,8.5,2014-04-26,False,Full-time,212,13,22,3.4,No,eman.siddiqui1111@company.com
1112,Usman Iqbal,Female,53,Support,Lahore,12,Intermediate,Junior,,6.6,2019-07-26,True,Full-time,170,29,34,4.8,No,usman.iqbal1112@company.com
1113,  Anam Sheikh  ,Male,37,Support,Multan,7,Intermediate,Senior,750000,5.8,2025-04-09,False,Full-time,221,19,47,3.5,No,anam.sheikh1113@company.com
1114,Hassan Tariq,Male,50,Support,Faisalabad,22,MPhil,Senior,179880,8.7,2015-11-02,False,Full-time,186,5,72,1.4,No,hassan.tariq1114@company.com
1115,Abdullah Siddiqui,Male,57,Finance,Karachi,10,MPhil,Junior,78308,7.4,2025-06-12,False,Contract,198,9,65,2.7,No,abdullah.siddiqui1115@company.com
1116,Mehwish Tariq,Female,22,Operations,,0,Bachelor,Mid,75883,6.7,2015-06-07,True,Contract,148,31,4,2.1,Yes,
1117,Hassan Qureshi,Female,44,Operations,Faisalabad,12,MPhil,Junior,92531,5.7,2021-10-19,True,Full-time,208,26,67,1.5,No,hassan.qureshi1117@company.com
1118,Taha Khan,Male,40,marketing,Multan,20,MPhil,Mid,139245,6.2,2021-10-06,True,Full-time,154,3,53,3.5,No,taha.khan1118@company.com
1119,Abdullah Khan,Male,34,HR,Lahore,14,Intermediate,Mid,108059,6.2,2014-12-29,False,Full-time,209,14,7,1.6,No,abdullah.khan1119@company.com
1120,Zainab Iqbal,Female,57,Support,Karachi,9,Bachelor,Manager,215046,7.0,2020-03-04,True,Full-time,215,12,80,3.7,No,zainab.iqbal1120@company.com
1121,Sara Malik,Female,54,Support,Multan,13,MPhil,Junior,76435,8.7,2024-08-15,True,Contract,178,10,59,4.7,No,sara.malik1121@company.com
1122,Maham Siddiqui,Male,45,Marketing,Islamabad,6,Master,Senior,125485,5.5,2018-04-10,True,Full-time,226,3,9,1.8,No,maham.siddiqui1122@company.com
1123,Anam Butt,Male,51,Marketing,Peshawar,10,Master,Manager,207250,9.6,2016-08-19,False,Contract,229,14,50,4.7,No,anam.butt1123@company.com
1124,Shahzaib Ali,Female,50,Support,Islamabad,8,Master,Mid,99814,5.5,2024-07-13,False,Contract,187,21,52,1.2,No,shahzaib.ali1124@company.com
1125,Anam Raza,Male,37,Operations,Islamabad,4,Bachelor,Mid,90978,9.1,2025-03-14,False,Full-time,202,32,58,1.7,No,anam.raza1125@company.com
1126,Ayesha Raza,Female,,IT,Rawalpindi,1,Intermediate,Manager,186757,8.7,2023-04-02,True,Contract,169,5,19,1.0,No,ayesha.raza1126@company.com
1127,Hira Khan,Female,52,IT,Lahore,17,MPhil,Junior,95030,7.6,2020-06-06,True,Full-time,229,28,22,1.4,Yes,hira.khan1127@company.com
1128,Hassan Noor,Male,54,Sales,,11,Master,Senior,130795,9.7,2024-04-18,True,Part-time,168,20,10,3.6,No,hassan.noor1128@company.com
1129,Shahzaib Khan,Male,46,Operations,Faisalabad,17,MPhil,Junior,73538,5.4,2023-09-25,False,Full-time,152,34,5,1.9,No,
1130,Raza Aslam,Female,38,IT,Lahore,18,Master,Lead,191250,5.9,2021-01-20,FALSE,Part-time,215,10,50,4.7,No,raza.aslam1130@company.com
1131,Talha Noor,Female,55,Support,Faisalabad,24,Bachelor,Senior,176633,7.5,2021-10-04,True,Full-time,169,5,43,3.4,No,talha.noor1131@company.com
1132,  Noor Farooq  ,Female,22,Sales,Peshawar,2,MPhil,Junior,one lakh,7.1,2022-07-11,True,Full-time,177,16,9,1.3,Yes,noor.farooq1132@company.com
1133,Raza Qureshi,Male,45,Support,Islamabad,3,Intermediate,Junior,750000,6.8,2020-01-19,True,Full-time,163,28,57,3.2,No,raza.qureshi1133@company.com
1134,Fatima Khan,Male,43,HR,Rawalpindi,19,Master,Lead,181238,7.0,2015-11-25,True,Full-time,161,25,21,1.6,No,fatima.khan1134@company.com
1135,Iqra Raza,Male,31,Operations,Islamabad,11,Master,Mid,95360,6.2,2019-07-14,False,Full-time,165,30,13,1.5,Yes,iqra.raza1135@company.com
1136,Usman Malik,Female,Twenty Five,Design,Islamabad,13,Bachelor,Mid,,7.3,2017-12-26,False,Part-time,177,32,73,4.1,No,usman.malik1136@company.com
1137,Bilal Iqbal,Female,44,HR,karachi,6,Bachelor,Senior,115437,9.7,2024-05-09,True,Full-time,177,5,52,3.7,Yes,bilal.iqbal1137@company.com
1138,  Maria Noor  ,Female,30,Operations, Multan ,10,Intermediate,Mid,750000,7.9,2025-12-26,False,Full-time,186,35,76,3.6,Yes,maria.noor1138@company.com
1139,Shahzaib Noor,Female,31,IT,Rawalpindi,11,MPhil,Manager,223374,5.5,2016-03-18,False,Full-time,206,15,57,2.5,No,shahzaib.noor1139@company.com
1140,Komal Sheikh,Male,43,IT,Faisalabad,3,Master,Mid,71728,9.1,2017-03-06,False,Full-time,198,14,66,2.9,No,komal.sheikh1140@company.com
1141,Saad Chaudhry,Female,41,hr,Islamabad,1,Intermediate,Junior,43085,8.3,2017-09-08,True,Full-time,210,11,42,3.2,No,saad.chaudhry1141@company.com
1142,Zainab Qureshi,Female,32,Finance,Multan,12,MPhil,Mid,108185,7.2,2023-08-20,False,Full-time,167,14,35,4.0,No,zainab.qureshi1142@company.com
1143,Ahmed Sheikh,Male,15,Finance,Islamabad,10,Bachelor,Mid,101409,7.6,2021-01-11,False,Full-time,215,8,44,2.4,No,ahmed.sheikh1143@company.com
1144,Ayesha Iqbal,Female,58,HR,Multan,4,Master,Junior,50532,5.9,2017-03-04,1,Full-time,157,25,54,1.7,No,ayesha.iqbal1144@company.com
1145,Raza Aslam,Male,56,Finance,Faisalabad,9,Bachelor,Junior,63263,9.2,2014-03-20,False,Full-time,189,33,63,2.6,No,raza.aslam1145@company.com
1146,Raza Iqbal,Female,52,Finance,lahore,18,Intermediate,Senior,147089,5.2,2019-01-16,False,Full-time,198,32,70,3.0,No,raza.iqbal1146@company.com
1147,Bilal Qureshi,Female,55,IT,Peshawar,23,MPhil,Mid,126765,8.6,2019-07-21,0,Contract,144,29,33,2.4,No,bilal.qureshi1147@company.com
1148,Saad Iqbal,Male,36,Marketing,Peshawar,16,Master,Lead,199814,5.8,2017-02-14,True,Contract,147,23,68,2.1,No,saad.iqbal1148@company.com
1149,Hamza Chaudhry,Female,39,Sales,Peshawar,16,Intermediate,Junior,,9.5,2020-03-21,True,Full-time,156,16,18,3.8,No,hamza.chaudhry1149@company.com
1150,Shahzaib Iqbal,Female,52,Finance,Rawalpindi,20,Master,Senior,163170,5.4,2016-02-02,False,Full-time,175,24,58,4.8,No,shahzaib.iqbal1150@company.com
1151,Ali Iqbal,Male,unknown,Support,Peshawar,2,MPhil,Junior,,7.4,2021-03-29,False,Full-time,213,9,72,4.4,No,ali.iqbal1151@company.com
1152,Abdullah Butt,Male,23,HR,Multan,3,MPhil,Junior,950000,7.2,2023-08-06,True,Part-time,156,20,20,4.5,No,abdullah.butt1152@company.com
1153,Ahmed Butt,Female,37,HR,Islamabad,17,Bachelor,Junior,99387,,2019-04-03,False,Full-time,230,7,0,1.9,Yes,ahmed.butt1153@company.com
1154,Talha Noor,Female,21,IT,Multan,1,Intermediate,Manager,,7.3,2019-02-19,False,Full-time,153,7,40,2.5,No,
1155,Usman Qureshi,Male,30,HR,Rawalpindi,10,Intermediate,Senior,132781,6.7,2018-10-12,True,Contract,218,29,27,1.3,Yes,usman.qureshi1155@company.com
1156,Shahzaib Ahmed,Female,43,Operations,Islamabad,23,Bachelor,Junior,950000,6.2,2020-05-23,FALSE,Contract,224,20,26,3.1,No,shahzaib.ahmed1156@company.com
1157,Anam Farooq,Female,24,Marketing,Faisalabad,4,Intermediate,Junior,,5.3,2014-04-09,False,Contract,156,25,72,2.7,No,anam.farooq1157@company.com
1158,Ayesha Qureshi,Female,25,IT,Rawalpindi,2,Intermediate,Junior,42743,9.6,2022-12-05,False,Full-time,204,27,54,3.8,Yes,ayesha.qureshi1158@company.com
1159,Mehwish Siddiqui,Male,38,HR,Islamabad,2,Bachelor,Manager,203812,6.6,2015-06-26,False,Full-time,170,4,31,1.3,No,mehwish.siddiqui1159@company.com
1160,Saad Sheikh,Male,40,Finance,Lahore,0,Bachelor,Senior,113266,9.7,2025-09-24,False,Full-time,156,18,15,4.1,Yes,saad.sheikh1160@company.com
1161,Laiba Farooq,Female,54,HR,Islamabad,22,Intermediate,Mid,136412,5.3,2017-09-29,False,Full-time,153,8,29,4.0,Yes,laiba.farooq1161@company.com
1162,Eman Iqbal,Male,36,IT,Faisalabad,11,MPhil,Manager,206984,7.7,2023-05-29,True,Full-time,193,21,34,4.3,No,eman.iqbal1162@company.com
1163,Fatima Siddiqui,Male,32,Marketing,Peshawar,12,Intermediate,Manager,220532,9.2,2020-12-20,False,Full-time,198,1,47,1.8,No,fatima.siddiqui1163@company.com
1164,Maria Chaudhry,Male,50,Support,Rawalpindi,15,Bachelor,Senior,148817,5.7,2023-03-14,True,Full-time,184,1,42,1.0,No,maria.chaudhry1164@company.com
